"COD_EMPRESA","NUM_PEDIDO","PCT_COMISSAO_2","COD_REPRES_3","PCT_COMISSAO_3"
"01",2748,0,0,0
"01",2742,0,0,0
"01",2744,0,0,0
"01",2316,0,0,0
"01",2314,0,0,0
"01",2572,0,0,0
"01",2891,0,0,0
"01",2502,0,0,0
"01",3912,0,0,0
"01",4056,0,0,0
"01",2394,0,0,0
"01",2814,0,0,0
"01",4082,0,0,0
"01",4498,0,0,0
"01",2365,0,0,0
"01",2465,0,0,0
"01",3083,0,0,0
"01",3584,0,0,0
"01",4373,0,0,0
"01",5043,0,0,0
"01",2965,0,0,0
"01",4164,0,0,0
"01",2437,0,0,0
"01",2438,0,0,0
"01",4386,0,0,0
"01",2428,0,0,0
"01",2342,0,0,0
"01",2299,0,0,0
"01",2282,0,0,0
"01",2284,0,0,0
"01",2278,0,0,0
"01",2265,0,0,0
"01",3090,0,0,0
"01",2240,0,0,0
"01",3459,0,0,0
"01",2991,0,0,0
"01",5042,0,0,0
"01",4207,0,0,0
"01",2890,0,0,0
"01",2977,0,0,0
"01",3309,0,0,0
"01",3964,0,0,0
"01",2976,0,0,0
"01",2962,0,0,0
"01",4285,0,0,0
"01",4222,0,0,0
"01",4167,0,0,0
"01",4286,0,0,0
"01",4240,0,0,0
"01",4277,0,0,0
"01",3140,0,0,0
"01",4290,0,0,0
"01",4538,0,0,0
"01",3186,0,0,0
"01",3154,0,0,0
"01",4411,0,0,0
"01",4650,0,0,0
"01",4474,0,0,0
"01",3184,0,0,0
"01",3182,0,0,0
"01",3233,0,0,0
"01",3417,0,0,0
"01",3758,0,0,0
"01",4439,0,0,0
"01",4441,0,0,0
"01",4412,0,0,0
"01",3820,0,0,0
"01",4545,0,0,0
"01",4563,0,0,0
"01",4502,0,0,0
"01",3580,0,0,0
"01",4449,0,0,0
"01",4509,0,0,0
"01",4460,0,0,0
"01",4508,0,0,0
"01",4614,0,0,0
"01",4487,0,0,0
"01",4591,0,0,0
"01",4539,0,0,0
"01",4630,0,0,0
"01",5814,0,0,0
"01",4664,0,0,0
"01",3589,0,0,0
"01",4640,0,0,0
"01",3514,0,0,0
"01",1993,0,0,0
"01",1257,0,0,0
"01",2483,0,0,0
"01",826,0,0,0
"01",4274,0,0,0
"01",1597,0,0,0
"01",900,0,0,0
"01",1074,0,0,0
"01",1346,0,0,0
"01",3846,0,0,0
"01",786,0,0,0
